time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
0|3920449.4695257717,3455693.078711104,-1703840.2364758486|-5766.741005510949,7207.276173840282,1348.4601210572077|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999999801,-0.00000019910212776572188,0|10
1|3906107.812630491,3473555.5258889785,-1700480.851172151|-5790.051017410175,7186.6386366619445,1358.599287251288|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999999206,-0.00000039820425553143586,0|10
2|3891708.4371379525,3491366.5843087453,-1697096.3328964545|-5813.2751744007455,7165.895080037485,1368.7182568747307|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999998215,-0.000000597306383297134,0|10
3|3877251.5859853476,3509125.956228997,-1693686.7390097985|-5836.412883829775,7145.046039865072,1378.8167710866896|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999996827,-0.0000007964085110628085,0|10
4|3862737.5039184084,3526833.3455564417,-1690252.1276643048|-5859.463557352527,7124.09205721663,1388.8945720735474|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999995043,-0.0000009955106388284515,0|10
5|3848166.4374784147,3544488.45786136,-1686792.5578000636|-5882.426610980343,7103.033678292809,1398.951403070005|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999992862,-0.000001194612766594055,0|10
6|3833538.634989064,3562091.000392946,-1683308.0891419672|-5905.301465128014,7081.871454377361,1408.9870083800374|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999990286,-0.0000013937148943596111,0|10
7|3818854.3465432003,3579640.6820944967,-1679798.7821964696|-5928.087544660602,7060.605941790873,1419.001133397711|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999987312,-0.0000015928170221251118,0|10
8|3804113.8239894016,3597137.213618472,-1676264.6982482944|-5950.784278939712,7039.237701843903,1428.9935246278667|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999983943,-0.0000017919191498905495,0|10
9|3789317.3209184455,3614580.3073414187,-1672705.8993570786|-5973.391101869181,7017.767300789515,1438.9639297066535|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999980176,-0.000001991021277655916,0|10
10|3774465.092649617,3631969.677378755,-1669122.4483539548|-5995.907451940195,6996.195309775203,1448.9120974219204|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999976013,-0.0000021901234054212037,0|10
11|3759557.3962169085,3649305.0395994107,-1665514.4088380772|-6018.332772275839,6974.522304794261,1458.8377777334574|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999971453,-0.0000023892255331864045,0|10
12|3744594.490355068,3666586.111640325,-1661881.8451730816|-6040.666510675026,6952.748866636562,1468.7407217930793|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999966497,-0.0000025883276609515105,0|10
