time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
0|3430391.0259798025,3023734.2686629016,-1490859.6785251568|-6416.621535189683,8019.530259660932,1500.4211736904492|0,0,0|0,0,0|0,0,0|-0.9999999999999801,-0.00000019910212776572188,0|10
1|3415786.3072338006,3041919.779777078,-1487438.242434503|-6444.473021354399,7994.854083400026,1512.537427650516|0,0,0|0,0,0|0,0,0|-0.9999999999999206,-0.00000039820425553143586,0|10
2|3401118.464465657,3060049.0862961514,-1483989.3193325468|-6472.204965599696,7970.0305802966805,1524.6255330135955|0,0,0|0,0,0|0,0,0|-0.9999999999998215,-0.000000597306383297134,0|10
3|3386387.765382245,3078121.860505165,-1480512.9724649808|-6499.816409246441,7945.060620870487,1536.685070733483|0,0,0|0,0,0|0,0,0|-0.9999999999996827,-0.0000007964085110628085,0|10
4|3371594.479802585,3096137.7766142655,-1477009.2660014096|-6527.30640178103,7919.945085383124,1548.7156237169875|0,0,0|0,0,0|0,0,0|-0.9999999999995043,-0.0000009955106388284515,0|10
5|3356738.8796425583,3114096.5107768415,-1473478.2650316868|-6554.674000960353,7894.6848637387375,1560.7167768702166|0,0,0|0,0,0|0,0,0|-0.9999999999992862,-0.000001194612766594055,0|10
6|3341821.2388994503,3131997.741107498,-1469920.0355621723|-6581.918272915331,7869.280855382705,1572.688117144514|0,0,0|0,0,0|0,0,0|-0.9999999999990286,-0.0000013937148943596111,0|10
7|3326841.8336363197,3149841.14769986,-1466334.6445119146|-6609.038292253057,7843.73396919887,1584.6292335820513|0,0,0|0,0,0|0,0,0|-0.9999999999987312,-0.0000015928170221251118,0|10
8|3311800.9419661923,3167626.412644203,-1462722.159708756|-6636.03314215745,7818.045123405189,1596.5397173610415|0,0,0|0,0,0|0,0,0|-0.9999999999983943,-0.0000017919191498905495,0|10
9|3296698.844036095,3185353.220044927,-1459082.6498853627|-6662.9019144884505,7792.215245447875,1608.4191618405891|0,0,0|0,0,0|0,0,0|-0.9999999999980176,-0.000001991021277655916,0|10
10|3281535.82201091,3203021.2560378383,-1455416.1846751797|-6689.643709879712,7766.245271894055,1620.267162605144|0,0,0|0,0,0|0,0,0|-0.9999999999976013,-0.0000021901234054212037,0|10
11|3266312.1600570725,3220630.2088072645,-1451722.8346083092|-6716.257637834776,7740.1361483229375,1632.0833175085668|0,0,0|0,0,0|0,0,0|-0.9999999999971453,-0.0000023892255331864045,0|10
12|3251028.1443261085,3238179.7686029985,-1448002.6711073206|-6742.742816821694,7713.888829215561,1643.8672267177826|0,0,0|0,0,0|0,0,0|-0.9999999999966497,-0.0000025883276609515105,0|10
13|3235684.0629379824,3255669.6277570403,-1444255.766482973|-6769.098374366096,7687.504277843101,1655.6184927560216|0,0,0|0,0,0|0,0,0|-0.9999999999961144,-0.000002787429788716514,0|10
14|3220280.2059643427,3273099.480700194,-1440482.193929887|-6795.323447142677,7660.983466153805,1667.3367205456302|0,0,0|0,0,0|0,0,0|-0.9999999999955396,-0.000002986531916481407,0|10
15|3204816.86541154,3290469.023978439,-1436682.027522119|-6821.417181065064,7634.327374658578,1679.021517450452|0,0,0|0,0,0|0,0,0|-0.9999999999949251,-0.000003185634044246181,0|10
16|3189294.335203547,3307777.9562691515,-1432855.342208682|-6847.378731374084,7607.536992315205,1690.6724933177557|0,0,0|0,0,0|0,0,0|-0.9999999999942709,-0.0000033847361720108296,0|10
17|3173712.911164694,3325025.9783971207,-1429002.2138089873|-6873.207262724354,7580.613316411282,1702.2892605197155|0,0,0|0,0,0|0,0,0|-0.9999999999935771,-0.0000035838382997753435,0|10
18|3158072.8910022653,3342212.793350376,-1425122.7190082138|-6898.90194926925,7553.557352445894,1713.871433994424|0,0,0|0,0,0|0,0,0|-0.9999999999928437,-0.0000037829404275397154,0|10
19|3142374.574288936,3359338.1062958343,-1421216.9353526107|-6924.461974744168,7526.370114010003,1725.4186312864324|0,0,0|0,0,0|0,0,0|-0.9999999999920707,-0.000003982042555303937,0|10
20|3126618.262445083,3376401.6245947443,-1417284.9412447307|-6949.886532548105,7499.052622665675,1736.9304725868117|0,0,0|0,0,0|0,0,0|-0.999999999991258,-0.0000041811446830680016,0|10
21|3110804.258720918,3393403.057817942,-1413326.8159385878|-6975.17482582352,7471.605907824064,1748.4065807727204|0,0,0|0,0,0|0,0,0|-0.9999999999904057,-0.0000043802468108319,0|10
22|3094932.8681785213,3410342.117760914,-1409342.6395347577|-7000.326067534461,7444.031006622281,1759.8465814464726|0,0,0|0,0,0|0,0,0|-0.9999999999895137,-0.000004579348938595624,0|10
23|3079004.397673689,3427218.518458652,-1405332.4929753975|-7025.339480542962,7416.328963799109,1771.2501029741027|0,0,0|0,0,0|0,0,0|-0.9999999999885821,-0.000004778451066359168,0|10
24|3063019.15583768,3444031.9762003226,-1401296.4580392097|-7050.214297683669,7388.500831569652,1782.6167765234127|0,0,0|0,0,0|0,0,0|-0.9999999999876109,-0.0000049775531941225214,0|10
25|3046977.453058805,3460782.209543728,-1397234.6173363298|-7074.949761836693,7360.547669498902,1793.9462361014935|0,0,0|0,0,0|0,0,0|-0.9999999999865999,-0.000005176655321885678,0|10
26|3030879.6014638916,3477468.9393295646,-1393147.0543031562|-7099.545125998671,7332.470544374258,1805.238118591717|0,0,0|0,0,0|0,0,0|-0.9999999999855493,-0.000005375757449648629,0|10
27|3014725.9148996132,3494091.888695484,-1389033.8531971092|-7123.999653352044,7304.270530077085,1816.4920637901912|0,0,0|0,0,0|0,0,0|-0.9999999999844591,-0.0000055748595774113675,0|10
28|2998516.708913699,3510650.783089945,-1384895.099091329|-7148.312617332498,7275.948707453275,1827.707714441664|0,0,0|0,0,0|0,0,0|-0.9999999999833292,-0.0000057739617051738844,0|10
29|2982252.3007360003,3527145.3502858607,-1380730.8778693068|-7172.483301694583,7247.506164182871,1838.884716274876|0,0,0|0,0,0|0,0,0|-0.9999999999821597,-0.000005973063832936173,0|10
30|2965933.00925945,3543575.3203940326,-1376541.2762194546|-7196.511000575516,7218.943994648809,1850.022718037353|0,0,0|0,0,0|0,0,0|-0.9999999999809506,-0.000006172165960698224,0|10
31|2949559.1550208884,3559940.425876389,-1372326.3816296118|-7220.3950185571,7190.263299804756,1861.121371529629|0,0,0|0,0,0|0,0,0|-0.9999999999797018,-0.00000637126808846003,0|10
32|2933131.0601817775,3576240.401558997,-1368086.2823814917|-7244.134670725813,7161.465187042141,1872.1803316388932|0,0,0|0,0,0|0,0,0|-0.9999999999784134,-0.000006570370216221584,0|10
33|2916649.048508795,3592474.9846448745,-1363821.0675450643|-7267.729282731012,7132.550770056359,1883.1992563720612|0,0,0|0,0,0|0,0,0|-0.9999999999770853,-0.000006769472343982878,0|10
34|2900113.44535431,3608643.914726584,-1359530.8269728792|-7291.178190841265,7103.521168712202,1894.177806888251|0,0,0|0,0,0|0,0,0|-0.9999999999757176,-0.000006968574471743902,0|10
35|2883524.577636755,3624746.933798616,-1355215.651294332|-7314.480741998801,7074.377508908576,1905.1156475306748|0,0,0|0,0,0|0,0,0|-0.9999999999743103,-0.0000071676765995046516,0|10
36|2866882.7738208817,3640783.78626955,-1350875.631909868|-7337.636293872043,7045.120922442471,1916.0124458579207|0,0,0|0,0,0|0,0,0|-0.9999999999728634,-0.000007366778727265116,0|10
37|2850188.3638979136,3656754.218974012,-1346510.86098513|-7360.644214906279,7015.752546872297,1926.8678726746377|0,0,0|0,0,0|0,0,0|-0.9999999999713768,-0.0000075658808550252886,0|10
38|2833441.6793655856,3672657.9811843922,-1342121.431445048|-7383.503884372379,6986.273525380543,1937.6816020616066|0,0,0|0,0,0|0,0,0|-0.9999999999698506,-0.000007764982982785161,0|10
39|2816643.0532080955,3688494.8246223764,-1337707.4369678723|-7406.214692413632,6956.685006635873,1948.4533114051937|0,0,0|0,0,0|0,0,0|-0.9999999999682847,-0.000007964085110544726,0|10
40|2799792.8198759486,3704264.5034702285,-1333268.971979154|-7428.77604009065,6926.988144654614,1959.182681426186|0,0,0|0,0,0|0,0,0|-0.9999999999666792,-0.000008163187238303976,0|10
41|2782891.3152656932,3719966.7743818644,-1328806.1316456627|-7451.187339424348,6897.184098661732,1969.8693962079988|0,0,0|0,0,0|0,0,0|-0.9999999999650341,-0.0000083622893660629,0|10
